country,best_model_by_RMSE,RMSE,MAPE
Afghanistan,Random Forest,7.681814964203764,20.586857779686767
Africa,Exponential Smoothing,186.0427237601293,3.173616409758911
Africa (EI),Exponential Smoothing,186.15433315130443,3.1754640839097035
Africa (EIA),ARIMA,356.050691169486,4.602286381182494
Albania,Random Forest,6.35461323822733,12.863543079825526
Algeria,Exponential Smoothing,79.1887601817489,11.612948215122769
American Samoa,Exponential Smoothing,0.10553362627661547,7.101953541358649
Angola,ARIMA,13.042738955205786,9.737493959089733
Antarctica,ARIMA,0.005632446218812025,7.997111336187442
Antigua and Barbuda,ARIMA,0.17127609910675823,5.274282137889454
Argentina,Exponential Smoothing,60.51703044764603,4.88274229169949
Armenia,Random Forest,5.416858872967464,8.71723812483625
Aruba,Exponential Smoothing,0.27666136361240373,4.460518764313109
Asia,ARIMA,2087.9247694459414,2.216426795242821
Asia & Oceania (EIA),ARIMA,3050.6584652720953,3.807513192962798
Asia Pacific (EI),ARIMA,1477.7771600632882,1.6487670012814233
Australia,Gradient Boosting (XGB substitute),79.74482938369364,4.3232457492353085
Australia and New Zealand (EIA),Gradient Boosting (XGB substitute),84.3994439312466,2.9243790365880136
Austria,Gradient Boosting (XGB substitute),13.654558951213824,3.0476605622226094
Azerbaijan,ARIMA,19.550424708120428,7.182220470448588
Bahamas,ARIMA,1.5361525186276683,9.568551566601997
Bahrain,Exponential Smoothing,12.640282965292931,5.220603381177868
Bangladesh,Exponential Smoothing,39.56055638870179,7.635538165337106
Barbados,Random Forest,0.6096464160377347,7.341433120390062
Belarus,Random Forest,19.982669095870232,5.4998145894724955
Belgium,ARIMA,43.04332654805945,5.116564337635833
Belize,Exponential Smoothing,0.46221933481100325,11.50517649527027
Benin,Exponential Smoothing,6.522145586695017,18.251685019539522
Bermuda,Random Forest,0.4002609418388561,10.298612146412523
Bhutan,Exponential Smoothing,0.8553723427014353,3.57558374866808
Bolivia,Gradient Boosting (XGB substitute),7.327394028123111,7.119259694713917
Bosnia and Herzegovina,ARIMA,4.867244394069622,5.845474136144219
Botswana,Exponential Smoothing,2.0089288082330286,6.8411407245647675
Brazil,Exponential Smoothing,259.7479059901542,6.15204451555389
British Virgin Islands,Gradient Boosting (XGB substitute),0.0716435551988939,6.9209154265106
Brunei,Exponential Smoothing,5.51228911519319,9.811387083003419
Bulgaria,ARIMA,14.240210813227003,5.435263526194025
Burkina Faso,Exponential Smoothing,3.105961700890045,15.834966225164957
Burundi,Exponential Smoothing,0.7920004227945715,18.073979681980372
CIS (EI),Random Forest,330.5666795611411,2.6552058816113178
Cambodia,Exponential Smoothing,14.932501911284852,20.41510257891857
Cameroon,Exponential Smoothing,2.384883241910969,4.25573386819313
Canada,Random Forest,185.60147366677901,4.157282889126196
Cape Verde,ARIMA,0.21316856202613857,4.189549014822579
Cayman Islands,Exponential Smoothing,0.19041435691155184,5.800334127798442
Central & South America (EIA),Gradient Boosting (XGB substitute),296.9359515447738,2.533335775109325
Central African Republic,Exponential Smoothing,0.16038921820468263,9.81962089646302
Central America (EI),Exponential Smoothing,36.734549133611395,7.868793133002584
Chad,ARIMA,2.059743609727132,24.84373016659299
Chile,Exponential Smoothing,17.933078446588553,3.2985315643431594
China,ARIMA,4184.712488489579,10.070523456705194
Colombia,Exponential Smoothing,56.31309738256676,8.776095032378967
Comoros,Exponential Smoothing,0.38156665924248456,26.51175523349563
Congo,Random Forest,6.3330293830667115,30.990104460239397
Cook Islands,Exponential Smoothing,0.01930780641345343,3.5723501555742656
Costa Rica,Exponential Smoothing,2.8827290532955976,3.5741470934077153
Cote d'Ivoire,Exponential Smoothing,11.860710158733928,19.324340834335953
Croatia,ARIMA,3.4075892790606646,3.13383341425765
Cuba,Random Forest,8.294292718493105,4.457620588911397
Cyprus,Random Forest,3.509242103460662,9.735912411136118
Czechia,Exponential Smoothing,15.461038901446807,2.686225321289849
Czechoslovakia,Random Forest,77.41092685045959,6.102121249508752
Democratic Republic of Congo,Exponential Smoothing,6.5582680354499105,13.179768883568025
Denmark,Gradient Boosting (XGB substitute),15.21676557100783,6.510084543521057
Djibouti,Exponential Smoothing,0.2988040311034359,6.177194519175666
Dominica,Random Forest,0.039867299418986424,3.968637865602423
Dominican Republic,Exponential Smoothing,6.9202339568261655,6.002480627969791
East Timor,Gradient Boosting (XGB substitute),0.03985598979407933,1.506832370061816
Eastern Africa (EI),Exponential Smoothing,33.397769573850674,4.7161300786853575
Ecuador,Exponential Smoothing,15.407005620511997,6.808836094214049
Egypt,Gradient Boosting (XGB substitute),101.57032579203883,8.392994979352075
El Salvador,Exponential Smoothing,1.7489570380531032,3.872375243449402
Equatorial Guinea,Random Forest,5.3577272227297685,17.906458007459417
Eritrea,Random Forest,0.30145238362400284,8.39180071680709
Estonia,Gradient Boosting (XGB substitute),6.6145132302288845,9.344769179841292
Eswatini,Exponential Smoothing,0.3196722741652884,4.372019408374527
Ethiopia,Exponential Smoothing,15.844297777228952,16.436002162001255
Eurasia (EIA),Random Forest,735.0632957727604,4.568593909890621
Europe,Exponential Smoothing,805.8748223437717,2.0809475381769014
Europe (EI),Random Forest,885.5251807262467,2.894445834942876
Europe (EIA),Exponential Smoothing,630.6232020402385,2.1322358738034843
European Union (27),Exponential Smoothing,474.9606529276871,2.2610929762195187
Falkland Islands,Random Forest,0.010420346490767854,4.112721415159812
Faroe Islands,Exponential Smoothing,0.18277163361051202,4.483350973525833
Fiji,Random Forest,0.5773708037707737,6.317627051826408
Finland,Exponential Smoothing,10.182759250405832,2.545820197765673
France,Exponential Smoothing,169.6111869917302,4.511053432186674
French Guiana,ARIMA,1.7026619736417072,16102650617.481115
French Polynesia,Random Forest,0.18372716926779312,3.60793295474006
Gabon,Gradient Boosting (XGB substitute),1.4242154540148795,6.1106297074307525
Gambia,ARIMA,0.07724671442490409,3.020139838217625
Georgia,ARIMA,4.063009829661908,4.490864517674393
Germany,Exponential Smoothing,182.32418256994677,4.289265707025381
Ghana,Exponential Smoothing,17.076068409527707,13.251206210497307
Greece,Exponential Smoothing,24.25333482399799,6.990612451904678
Greenland,Random Forest,0.4117250789193173,11.282320616855975
Grenada,ARIMA,0.08748849053877925,6.133848579065474
Guadeloupe,Exponential Smoothing,3.303696836073946,28561558397.36126
Guam,Exponential Smoothing,1.2836894637409122,16.207005948922358
Guatemala,Exponential Smoothing,22.534363685514304,22.1877653194514
Guinea,ARIMA,1.2941102779688365,7.957636458800205
Guinea-Bissau,Gradient Boosting (XGB substitute),0.12091834595098047,6.683139380864957
Guyana,Exponential Smoothing,1.1992175029773466,9.262215221769523
Haiti,Exponential Smoothing,1.968057206271242,12.471199641330537
High-income countries,Random Forest,1701.3892189995624,1.9605872284700743
Honduras,ARIMA,4.58916473220244,6.758058718749778
Hong Kong,Random Forest,38.292399894975816,10.694162813420403
Hungary,ARIMA,18.777389619744987,5.90291334750642
Iceland,ARIMA,3.947623300787866,5.523487200691548
India,Exponential Smoothing,252.01653773156195,2.0169293813775133
Indonesia,ARIMA,214.69635603558996,9.404744648298497
Iran,Exponential Smoothing,73.91072428243679,2.2187728640387094
Iraq,Exponential Smoothing,124.13196079913237,18.14065297153156
Ireland,Random Forest,9.075996046253318,4.118308078237902
Israel,ARIMA,9.341684240365405,2.8903245287209467
Italy,Exponential Smoothing,79.04218721526149,3.4017323337435026
Jamaica,Random Forest,3.9924739072166857,7.004541507298463
Japan,Exponential Smoothing,336.7854988013503,5.501020399311543
Jordan,ARIMA,7.7345990555712305,5.971410995709617
Kazakhstan,Random Forest,69.33180544815184,7.269779112527211
Kenya,Exponential Smoothing,8.976717194492256,8.063625223595977
