Data Source,World Development Indicators,...3
Last Updated Date,2025-01-28,NA
Country Name,Country Code,"Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,"
Aruba,ABW,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Africa Eastern and Southern,AFE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",784.540725292672,777.737731190958,786.640016460831,782.939426555577,781.024444795726,779.126638474109,769.597518492316,773.676288099582,770.167640123209,778.240175663613,796.364625494625,809.30556841219,801.66256558281,819.899846976403,807.11926236512,812.500573305279,814.733266784633,819.32587379419,786.170077125571,765.044666525214,768.380762932808,727.686923598727,736.489655401313,736.112004732503,744.38530348558,743.427766571109,743.586506380207,732.115135747753,732.23923362877,718.332234191669,723.193827101965,710.655652829194,723.896996455648,741.182508515537,732.453091974261,726.660691465073,739.707326947839,763.126960296201,749.320945137782,738.795379118349,733.17632684336,712.404049540009,709.181146776309,724.721155776085,"","","","","","","","","","
Afghanistan,AFG,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Africa Western and Central,AFW,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",506.537232289119,510.854290954091,521.994980945812,524.889260763857,527.592140965472,534.616357505792,546.083006552599,553.404063863468,554.546643839601,559.916494842725,565.427530751686,572.627890109103,565.501607761467,554.782644072371,557.702104729532,551.889999878402,555.49231592586,553.170911303444,556.342350652481,552.772483898627,567.549324563649,574.081064187513,569.762354114555,546.859610172216,547.546553695595,558.205077326955,560.976491514222,553.177002254836,562.315281149201,532.786959882591,539.402828602281,542.708787667284,551.552275145957,557.613093459782,563.671503714438,556.820336915821,561.050493156283,563.408943777574,549.454484555627,573.110461353175,585.523635071568,599.00485343929,596.996756809299,586.679207076585,"","","","","","","","","","
Angola,AGO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",642.744523461627,671.435549706183,646.578992844674,638.078757764388,602.21334463061,575.653345515773,548.673657173459,582.963319023738,570.678714095346,560.99444397453,544.497509189321,517.699523564019,512.686415905435,499.130217251011,510.29254166019,497.826509327429,492.441696201263,495.290016628778,489.330574498766,506.018736732735,501.021039663147,487.586399298374,489.093472548625,479.965982790335,463.829194896443,461.416516706369,455.725155901133,439.613387627586,446.78457941047,443.982288464328,448.230534904684,453.221400025474,472.276973683037,468.749178446103,436.773919413145,461.879996776463,474.572709823361,494.645657943,517.504370889681,522.335969469614,521.830428428821,550.839693734785,530.704374671802,540.218283215766,"","","","","","","","","","
Albania,ALB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",785.161525934329,865.59248120703,762.725361728214,776.934748974948,826.952081040206,890.953359858712,923.728867504315,1010.81922139014,864.199459705589,1149.53609603604,989.200148492914,966.683283781289,1000.12201296783,1018.26314225619,916.555190602146,963.927169506077,921.893044018284,927.744518727469,896.437762376845,813.255695500012,572.781843950789,418.286629757142,412.378880465233,441.249295409311,417.034843013203,447.848870261137,384.594958328053,426.682819087559,576.183632282524,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.584378082987,706.859407721917,679.861765101008,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,"","","","","","","","","","
Andorra,AND,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Arab World,ARB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",428.881368159016,432.714136250003,462.515365755054,478.386042271642,501.481942176615,540.723338981326,576.213821154117,640.779534185986,741.170979354822,804.038217594043,894.771992740568,965.469331587845,1008.86420139227,1001.18169532512,1026.49732020638,1042.29937666032,1095.22560477171,1155.9108530988,1181.77360301109,1087.39650672004,1102.9926649542,1186.28508044384,1232.71060287174,1271.48126587596,1270.79752235684,1290.85534556196,1308.19589781846,1295.11705296969,1277.4983429987,1275.48613564517,1337.61889837235,1370.06397521967,1359.38353077537,1405.56310713753,1458.13914887001,1522.78280731579,1551.29887975604,1631.5645310444,1675.31539465182,1740.66146692475,1705.96421977227,1799.69157880424,1750.99666733719,1917.47142289106,"","","","","","","","","","
