Data Source,World Development Indicators,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Last Updated Date,28-01-2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,24210632546,24963977551,27078797299,31775749181,30285794057,33813171214,36934974917,38452170916,41750716743,47058301051,47603733608,52199396059,56737525055,73098451709,89554214419,95315090875,96025945910,109231000000,124109000000,142130000000,178509000000,185163000000,178405000000,185823000000,170100000000,149398000000,160638000000,190275000000,207470000000,220712000000,256512000000,276494000000,241276000000,240096000000,243571000000,273433000000,273531000000,288378000000,268833000000,265429000000,287202000000,260992000000,267815000000,355716000000,442696000000,516661000000,580241000000,665599000000,713502000000,715485000000,849410000000,945439000000,952999000000,962395000000,978708000000,898278000000,828943000000,972999000000,1012310000000,1009720000000,933392000000,1085750000000,1191420000000,1245470000000
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17233051620
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11904954210,12707877772,13630758805,14469094144,15803761887,16921087955,18034172573,16493747239,17022809177,19301432648,26697257158,24497091508,29489793286,36891093307,49687843306,57280830632,68386405203,71790392859,78779062953,96682270600,120501000000,216911000000,195918000000,151223000000,131218000000,137803000000,109237000000,112295000000,111227000000,103934000000,123711000000,129942000000,124599000000,129733000000,134777000000,207177000000,262601000000,275742000000,296152000000,139468000000,142140000000,150058000000,179390000000,207755000000,256908000000,313328000000,398140000000,466884000000,569322000000,509918000000,600153000000,683888000000,739938000000,836937000000,897416000000,771767000000,694361000000,687849000000,770495000000,826484000000,789802000000,849312000000,883974000000,799106000000
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5930503401,5550483036,5550483036,5784341596,6131475065,7554065410,7072536109,8084412414,8769836769,10201780977,11229515599,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,111790000000,128053000000,132339000000,135967000000,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,104400000000,84824654482
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1578102105,1808177156,1861163170,1881412587,1857337995,1897050117,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950864,2392764853,3199640815,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15379509892,15585105131,15241458745,18032010564,19017242586,23547179830
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78617711.1,89406608.15,113414397.4,150841639.3,186557082,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1240295199,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573,3785067332
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,NA,19997084154,20327670692,22362957618,24811627082,26769289694,28349126511,30598797625,34970677298,38561008451,43091222310,49926770848,59966658266,79125367982,152189000000,168159000000,209993000000,242270000000,265398000000,358111000000,486406000000,494916000000,463080000000,437471000000,440182000000,432868000000,405473000000,431258000000,429383000000,457369000000,641712000000,467953000000,467794000000,478927000000,499880000000,528480000000,570910000000,614597000000,598790000000,665415000000,763412000000,744729000000,746649000000,830076000000,987316000000,1210020000000,1439470000000,1674640000000,2118070000000,1829850000000,2155350000000,2560990000000,2795310000000,2858380000000,2905650000000,2544700000000,2500820000000,2572200000000,2867350000000,2899030000000,2562780000000,2969240000000,3609810000000,3512420000000
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685986701.3,939893599.6,1415086929,4231243616,11651505689,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337000000,103312000000,109816000000,124346000000,147824000000,180617000000,222117000000,257916000000,315475000000,253547000000,300189000000,360833000000,384610000000,400219000000,414105000000,370275000000,369255000000,390517000000,427049000000,417990000000,349473000000,415179000000,502732000000,514130000000
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,89049453088,69252328952,76961923741,78676842367,84307486837,103979000000,116915000000,88150891728,105872000000,108811000000,126890000000,76629728760,141353000000,189720000000,228779000000,236742000000,257440000000,258032000000,272150000000,292859000000,298948000000,283523000000,284204000000,268697000000,97724004252,127587000000,164658000000,198737000000,232557000000,287531000000,361558000000,332976000000,423627000000,530158000000,545982000000,552025000000,526320000000,594749000000,557532000000,643628000000,524820000000,447755000000,385741000000,486564000000,632790000000,646075000000
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,NA
