country,model,RMSE,MAPE
Afghanistan,ARIMA,8.437511818538487,27.529383916339285
Afghanistan,Exponential Smoothing,30.947378672701834,97.79290310306152
Afghanistan,Gradient Boosting (XGB substitute),14.755745161061672,43.490472327107604
Afghanistan,Random Forest,7.681814964203764,20.586857779686767
Africa,ARIMA,211.18160653606964,3.550420597176255
Africa,Exponential Smoothing,186.0427237601293,3.173616409758911
Africa,Gradient Boosting (XGB substitute),907.3899153903018,15.082566301429834
Africa,Random Forest,945.0149473740648,15.86135130905978
Africa (EI),ARIMA,211.18089595278826,3.550414102075957
Africa (EI),Exponential Smoothing,186.15433315130443,3.1754640839097035
Africa (EI),Gradient Boosting (XGB substitute),907.3900176272232,15.082566368942594
Africa (EI),Random Forest,945.0150229990579,15.861350892490647
Africa (EIA),ARIMA,356.050691169486,4.602286381182494
Africa (EIA),Exponential Smoothing,386.40021240986334,5.0059442363951785
Africa (EIA),Gradient Boosting (XGB substitute),530.7917707469065,8.46227069364437
Africa (EIA),Random Forest,654.9453534134169,10.730925409396688
Albania,ARIMA,7.335446994531702,16.983072458907085
Albania,Exponential Smoothing,9.365444290211249,22.809977326534916
Albania,Gradient Boosting (XGB substitute),6.7030075479149005,14.64543844215967
Albania,Random Forest,6.35461323822733,12.863543079825526
Algeria,ARIMA,129.84590637589056,18.495786459294557
Algeria,Exponential Smoothing,79.1887601817489,11.612948215122769
Algeria,Gradient Boosting (XGB substitute),193.9940221649452,27.71652862257718
Algeria,Random Forest,195.16042268147322,27.913770613174915
American Samoa,ARIMA,0.6937919041831593,47.18144090469557
American Samoa,Exponential Smoothing,0.10553362627661547,7.101953541358649
American Samoa,Gradient Boosting (XGB substitute),0.12358658306852842,8.000946228717197
American Samoa,Random Forest,0.3022136092236774,20.554233707927022
Angola,ARIMA,13.042738955205786,9.737493959089733
Angola,Exponential Smoothing,19.661180402048156,15.131178316770482
Angola,Gradient Boosting (XGB substitute),19.1721591127953,15.759682848762797
Angola,Random Forest,21.359415194412293,17.94529622330857
Antarctica,ARIMA,0.005632446218812025,7.997111336187442
Antarctica,Exponential Smoothing,0.09597199023197464,163.38353195017
Antarctica,Gradient Boosting (XGB substitute),0.011843296182347189,19.440075114202404
Antarctica,Random Forest,0.07954643284131467,147.35299680010604
Antigua and Barbuda,ARIMA,0.17127609910675823,5.274282137889454
Antigua and Barbuda,Exponential Smoothing,0.29941365780488355,7.096542114494063
Antigua and Barbuda,Gradient Boosting (XGB substitute),0.18595578780381572,6.006301686888752
Antigua and Barbuda,Random Forest,0.17263940126142374,5.422215188778192
Argentina,ARIMA,63.226863471954985,5.044598619469257
Argentina,Exponential Smoothing,60.51703044764603,4.88274229169949
Argentina,Gradient Boosting (XGB substitute),87.17114829084078,8.230513747125935
Argentina,Random Forest,95.1324480472346,8.978400468199759
Armenia,ARIMA,5.577659452283316,10.03131271570663
Armenia,Exponential Smoothing,7.275238263512968,13.08929078898012
Armenia,Gradient Boosting (XGB substitute),5.45483093082278,8.885935293925861
Armenia,Random Forest,5.416858872967464,8.71723812483625
Aruba,ARIMA,0.33891419902859826,4.730726745353791
Aruba,Exponential Smoothing,0.27666136361240373,4.460518764313109
Aruba,Gradient Boosting (XGB substitute),0.5429154536323055,7.2395584097217744
Aruba,Random Forest,0.3916045273313189,5.958098762707031
Asia,ARIMA,2087.9247694459414,2.216426795242821
Asia,Exponential Smoothing,9117.924783557177,9.585355928269124
Asia,Gradient Boosting (XGB substitute),14456.17493013689,15.307794761491552
Asia,Random Forest,16202.205759295151,17.75199441741649
Asia & Oceania (EIA),ARIMA,3050.6584652720953,3.807513192962798
Asia & Oceania (EIA),Exponential Smoothing,10608.42271115599,12.651323131367281
Asia & Oceania (EIA),Gradient Boosting (XGB substitute),7946.488208844646,9.191530592513173
Asia & Oceania (EIA),Random Forest,9578.225563992984,11.685236450536268
Asia Pacific (EI),ARIMA,1477.7771600632882,1.6487670012814233
Asia Pacific (EI),Exponential Smoothing,7696.116564591389,9.800092922434038
Asia Pacific (EI),Gradient Boosting (XGB substitute),13022.643007506778,15.52996575479995
Asia Pacific (EI),Random Forest,14457.784495076174,17.933123867118326
Australia,ARIMA,123.66721999191034,6.771254891970491
Australia,Exponential Smoothing,126.51332862113527,6.940068216747018
Australia,Gradient Boosting (XGB substitute),79.74482938369364,4.3232457492353085
Australia,Random Forest,83.94744604474394,4.520500570656857
Australia and New Zealand (EIA),ARIMA,115.17299122252147,4.212788266462787
Australia and New Zealand (EIA),Exponential Smoothing,119.56263377567483,4.453837257334647
Australia and New Zealand (EIA),Gradient Boosting (XGB substitute),84.3994439312466,2.9243790365880136
Australia and New Zealand (EIA),Random Forest,92.64501185488056,3.475667491565585
Austria,ARIMA,20.51815303294057,4.05144327303366
Austria,Exponential Smoothing,19.288302435429912,3.7431884607604133
Austria,Gradient Boosting (XGB substitute),13.654558951213824,3.0476605622226094
Austria,Random Forest,13.97248402060182,2.8144964015091367
Azerbaijan,ARIMA,19.550424708120428,7.182220470448588
Azerbaijan,Exponential Smoothing,27.823190521737978,14.136676482416988
Azerbaijan,Gradient Boosting (XGB substitute),37.44691739746354,16.873573120371653
Azerbaijan,Random Forest,35.97699203532471,16.281128583961035
Bahamas,ARIMA,1.5361525186276683,9.568551566601997
Bahamas,Exponential Smoothing,1.9877536461393328,11.876276921098713
Bahamas,Gradient Boosting (XGB substitute),1.8835988501080112,12.268514212870762
Bahamas,Random Forest,1.577727359382622,10.088518163290633
Bahrain,ARIMA,13.278296704128033,5.435639607436265
Bahrain,Exponential Smoothing,12.640282965292931,5.220603381177868
Bahrain,Gradient Boosting (XGB substitute),36.1320405913669,15.477871910836704
Bahrain,Random Forest,39.05909000114333,16.890470602068213
Bangladesh,ARIMA,49.815096080361094,9.630702643221376
Bangladesh,Exponential Smoothing,39.56055638870179,7.635538165337106
Bangladesh,Gradient Boosting (XGB substitute),148.61799451743008,28.723918810155013
Bangladesh,Random Forest,157.91246354082,31.246472232978643
Barbados,ARIMA,0.7972575769305406,10.894035888729697
Barbados,Exponential Smoothing,1.737439463058689,24.77130596210821
Barbados,Gradient Boosting (XGB substitute),0.7448097810167484,9.733160148688693
Barbados,Random Forest,0.6096464160377347,7.341433120390062
Belarus,ARIMA,34.75297574826445,10.480103642257472
Belarus,Exponential Smoothing,51.933472504439315,16.04886754838652
Belarus,Gradient Boosting (XGB substitute),20.81903746592799,5.34586404800317
Belarus,Random Forest,19.982669095870232,5.4998145894724955
Belgium,ARIMA,43.04332654805945,5.116564337635833
Belgium,Exponential Smoothing,76.24982881694505,9.797588322102618
Belgium,Gradient Boosting (XGB substitute),51.03540455496819,6.45178782597176
Belgium,Random Forest,48.058234981927406,5.850802013365097
Belize,ARIMA,0.6003425784814581,13.956633091529804
Belize,Exponential Smoothing,0.46221933481100325,11.50517649527027
Belize,Gradient Boosting (XGB substitute),0.5822906483867368,14.351847142820247
Belize,Random Forest,0.6039770162590177,14.262797253237686
Benin,ARIMA,7.406767492829148,20.778839377444935
Benin,Exponential Smoothing,6.522145586695017,18.251685019539522
Benin,Gradient Boosting (XGB substitute),9.5601062232817,27.018289057831428
Benin,Random Forest,9.11314854878723,25.731586328859912
Bermuda,ARIMA,1.118868798384306,36.64636144204138
Bermuda,Exponential Smoothing,0.7405577622253159,21.77321021751257
Bermuda,Gradient Boosting (XGB substitute),0.4990154241695555,14.878020259465629
Bermuda,Random Forest,0.4002609418388561,10.298612146412523
Bhutan,ARIMA,1.0932872979561745,4.548113381357145
Bhutan,Exponential Smoothing,0.8553723427014353,3.57558374866808
Bhutan,Gradient Boosting (XGB substitute),3.1367359943232707,13.758118900466243
Bhutan,Random Forest,2.953233624804992,12.759467982118785
Bolivia,ARIMA,10.60558218013146,8.741739093301447
Bolivia,Exponential Smoothing,11.469249589443297,8.596614277270206
Bolivia,Gradient Boosting (XGB substitute),7.327394028123111,7.119259694713917
Bolivia,Random Forest,11.514924529408482,11.559045562822574
Bosnia and Herzegovina,ARIMA,4.867244394069622,5.845474136144219
Bosnia and Herzegovina,Exponential Smoothing,10.835546969790895,14.06793041424862
Bosnia and Herzegovina,Gradient Boosting (XGB substitute),8.111318219047911,6.954642744281646
Bosnia and Herzegovina,Random Forest,6.154736574076994,5.692180133563411
Botswana,ARIMA,2.2288769487047086,7.497394044880794
Botswana,Exponential Smoothing,2.0089288082330286,6.8411407245647675
Botswana,Gradient Boosting (XGB substitute),4.121814592288525,15.489833937920222
Botswana,Random Forest,4.324361355859233,16.073122017489574
