country,year,primary_energy_consumption,gdp,population
Syria,0.6504065040650406,0.0010488068683625338,6.988696233121951e-4,0.0011058771360615827
Zambia,0.7479674796747967,4.2272548888803085e-4,8.38316742589531e-5,0.00100338077043226
India,0.6829268292682927,0.019509154358782806,0.009614133636141753,0.09482460809024013
Asia,0.3821138211382114,0.0011153963364018114,3.3668997568087804e-4,0.16668140115235874
Pakistan,0.7804878048780488,0.0056857241160548485,0.0030064329821102636,0.01705751411503626
High-income countries,0.23577235772357724,0.0011153963364018114,3.3668997568087804e-4,0.07017011255112467
Kazakhstan,0.7317073170731707,0.011170925935907875,0.0014987387700146036,0.002096220247970058
New Zealand,0.5528455284552846,0.0012150010784640762,3.554760198407332e-4,3.423842111891963e-4
North Korea,0.04065040650406504,0.0011153963364018114,3.3668997568087804e-4,6.898851924923206e-4
Rwanda,0.8292682926829268,3.7928570708298206e-5,7.103363520114694e-5,0.0010404170080387043
Gabon,0.5121951219512195,0.0011153963364018114,1.5058287205085452e-5,6.597260052882328e-5
Central & South America (EIA),0.6504065040650406,0.042041896905520446,3.3668997568087804e-4,8.695984741435039e-4
Hungary,0.5528455284552846,0.0024125326576026032,6.196819333807043e-4,0.0012731036391662664
Democratic Republic of Congo,0.11382113821138211,0.0011153963364018114,3.3668997568087804e-4,0.001041339657423043
Antarctica,0.6829268292682927,1.0554489175852687e-5,3.3668997568087804e-4,8.695984741435039e-4
Panama,0.7479674796747967,6.900712196379546e-4,1.5475202673239462e-4,3.17272312621757e-4
United States,0.13008130081300814,0.0011153963364018114,0.008075670154411487,0.012204773863362255
Middle East (EI),0.7317073170731707,0.0388648006914981,3.3668997568087804e-4,8.695984741435039e-4
Africa,0.9024390243902439,0.05839538898211708,3.3668997568087804e-4,0.13457210268185757
Africa (Shift),0.6829268292682927,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Niger,0.5772357723577236,0.0011153963364018114,5.134507962438573e-5,5.960287677702817e-4
Finland,0.5691056910569106,0.002361878908442138,5.396597296566582e-4,5.723568386380524e-4
Belgium,0.7398373983739838,0.008356243844054402,0.002144893432341315,0.0012411255039505376
Iceland,0.7479674796747967,2.851011891418138e-4,5.266831378810103e-5,3.22476089952314e-5
Gambia,0.8780487804878049,2.2278810895826976e-5,1.9540137050828805e-5,2.2605854566078848e-4
Switzerland,0.8861788617886179,0.004614417468427043,0.003321817995864968,9.611275801167407e-4
Benin,0.8292682926829268,1.1635934372196214e-4,1.0483743814566438e-4,9.235137388879036e-4
Portugal,0.6829268292682927,0.001918876322122666,9.756611862263134e-4,0.0012396022561794113
Malaysia,0.9349593495934959,0.014487401198492622,0.005267974300253753,0.0038615046943149636
Lower-middle-income countries,0.9186991869918699,0.20342751033445103,3.3668997568087804e-4,0.37949154997440554
Saudi Arabia,0.3983739837398374,0.0011153963364018114,3.3668997568087804e-4,3.786148862656797e-4
Antarctica,0.7886178861788617,1.2153260319485545e-5,3.3668997568087804e-4,8.695984741435039e-4
Malaysia,0.04065040650406504,0.0011153963364018114,1.5557124512101442e-5,2.95670658061203e-4
Samoa,0.926829268292683,1.5896724460674676e-5,3.3668997568087804e-4,2.4851249805623547e-5
Chile,0.8048780487804879,0.0038099496241133747,0.0017295082922741433,0.0018861405776431858
Mongolia,0.2682926829268293,0.0011153963364018114,3.3668997568087804e-4,9.292296158363341e-5
South America,0.45528455284552843,0.0011153963364018114,3.3668997568087804e-4,0.016606410533492388
Yugoslavia,0.2764227642276423,0.0011153963364018114,2.0044956531554864e-4,0.0018928006071880648
Morocco,0.6991869918699187,8.778293429694718e-4,6.857740016015824e-4,0.0028367600476155944
Persian Gulf (Shift),0.2601626016260163,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Botswana,0.024390243902439025,0.0011153963364018114,3.3668997568087804e-4,2.132273428324618e-5
India,0.008130081300813009,0.0011153963364018114,0.0021295087975240126,0.0350306249337273
North America (EI),0.7479674796747967,0.35613527995480876,3.3668997568087804e-4,8.695984741435039e-4
Myanmar,0.926829268292683,0.0015723199299963304,0.00188335464044717,0.006347872883706923
North Korea,0.17073170731707318,0.0011153963364018114,3.3668997568087804e-4,8.59070849523442e-4
Albania,0.024390243902439025,0.0011153963364018114,3.3668997568087804e-4,1.0274657352514295e-4
Zimbabwe,0.7479674796747967,7.486538338196887e-4,1.6130461100911505e-4,0.0013224687993690406
Afghanistan,0.6341463414634146,0.0011153963364018114,1.2441264859464133e-4,0.0016080215125044805
Czechoslovakia,0.42276422764227645,0.0011153963364018114,5.582530095114899e-4,0.0015758457466109798
Kenya,0.8617886178861789,7.435065706255537e-4,6.422242033312887e-4,0.004589435159534578
Iran,0.7398373983739838,0.011441339227551275,0.0028910482209804937,0.007207809455035823
Spain,0.016260162601626018,0.0011153963364018114,3.9416789295948485e-4,0.0023388821321881116
Central and South America (Shift),0.6016260162601627,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Oman,0.24390243902439024,0.0011153963364018114,3.3668997568087804e-4,5.336811364782702e-5
East Timor,0.8617886178861789,1.0073558018824917e-5,3.3668997568087804e-4,1.2339363462325305e-4
Denmark,0.7967479674796748,0.003297510977230596,0.001483354135197301,6.584156766057999e-4
Ukraine,0,0.0011153963364018114,3.3668997568087804e-4,0.0029182844423407094
Lithuania,0.8943089430894309,8.604508306195765e-4,4.3007416748275956e-4,3.8993999417415837e-4
ASEAN (Ember),0.9349593495934959,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Nigeria,0.056910569105691054,0.0011153963364018114,3.3668997568087804e-4,0.0024887132824721585
Oman,0.45528455284552843,0.0011153963364018114,4.126392042910244e-6,6.197648336507689e-5
Antigua and Barbuda,0.7967479674796748,2.6646185727214294e-5,3.3668997568087804e-4,8.794689456859694e-6
Philippines,0.13008130081300814,0.0011153963364018114,1.2096212657466889e-4,0.0010775268288912118
Georgia,0.7967479674796748,6.308776929054015e-4,1.7209689147186277e-4,5.613921891984653e-4
Greenland,0.1951219512195122,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
North America (Ember),0.959349593495935,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
North America (EI),0.8373983739837398,0.4137964560359564,3.3668997568087804e-4,8.695984741435039e-4
Persian Gulf (EIA),0.8861788617886179,0.09583013437912342,3.3668997568087804e-4,8.695984741435039e-4
Oman,0.008130081300813009,0.0011153963364018114,3.3668997568087804e-4,4.7249641878451725e-5
Belarus,0.8536585365853658,0.0036928493864468023,9.525842340003595e-4,0.0012346737945414731
Africa,0.008130081300813009,0.0011153963364018114,3.3668997568087804e-4,0.017279585244254964
European Union (27),0.5853658536585366,0.1776570482516268,3.3668997568087804e-4,0.048341986036334855
Qatar,0.7723577235772358,0.002029633467772223,7.929280427964784e-5,6.380201906597715e-5
Belarus,0.8699186991869918,0.0038309026247925304,0.0011141228995820373,0.0012211036518519187
Belgium,0.7073170731707317,0.007521763295914325,0.00188335464044717,0.0012303308914714483
Afghanistan,0.5365853658536586,0.0011153963364018114,1.0893135593217102e-4,0.001215779183082295
Finland,0.7560975609756098,0.004322024323093538,9.295072817744054e-4,6.295315180133984e-4
Yugoslavia,0.6910569105691057,0.010832727347402319,0.0017064313400481895,0.0027616298132405446
Cook Islands,0.7967479674796748,2.391657645759722e-6,3.3668997568087804e-4,1.896633026488525e-6
EU28 (Shift),0.9105691056910569,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
North Korea,0.3333333333333333,0.0011153963364018114,3.3668997568087804e-4,0.0011948060935138736
Oman,0.15447154471544716,0.0011153963364018114,3.3668997568087804e-4,5.197612247778672e-5
OECD (EI),0.8130081300813008,0.8391554589491745,3.3668997568087804e-4,8.695984741435039e-4
Europe,0.6504065040650406,0.43278793349768663,3.3668997568087804e-4,0.08627573912815417
Guatemala,0.959349593495935,0.0012647189615892444,9.756611862263134e-4,0.0020941820417725117
Cyprus,0.967479674796748,4.2234854284603615e-4,2.4335446332510004e-4,1.525120912204342e-4
Vietnam,0.6016260162601627,7.992555904226376e-4,4.489994758185225e-4,0.005704798070945102
France,0.5934959349593496,0.028487580140497976,0.008383362850757541,0.006440055786765115
Sierra Leone,0.7804878048780488,4.5714456196396424e-5,2.982770893760595e-5,5.401343374396197e-4
Gibraltar,0.8048780487804879,0.0011153963364018114,3.3668997568087804e-4,3.2180240550355797e-6
Ireland,0.21951219512195122,0.0011153963364018114,9.493047769349246e-5,4.0378010782731025e-4
Czechia,0.7235772357723578,0.008266816645125996,0.0011141228995820373,0.0012805802935872206
Suriname,0.056910569105691054,0.0011153963364018114,3.3668997568087804e-4,1.0815369915056427e-5
Zimbabwe,0.34146341463414637,0.0011153963364018114,3.3668997568087804e-4,2.955321922907391e-4
Uzbekistan,0.7479674796747967,0.0063114285494873575,9.218149643657541e-4,0.002683093370630493
Lower-middle-income countries,0.3333333333333333,0.0011153963364018114,3.3668997568087804e-4,0.09281712886413444
Tonga,0.6585365853658537,2.404655785138851e-6,3.3668997568087804e-4,1.181160254545852e-5
Ireland,0.5528455284552846,0.001245637692980683,2.0478531282290058e-4,3.6018750355979926e-4
North Korea,0.18699186991869918,0.0011153963364018114,3.3668997568087804e-4,8.878842836783266e-4
Western Africa (EI),0.8211382113821138,0.004827820920753581,3.3668997568087804e-4,8.695984741435039e-4
Sudan,0.7723577235772358,2.499412221212701e-4,3.3668997568087804e-4,0.0028947013848654654
Mali,0.926829268292683,2.0514963382079181e-4,1.7018944487790758e-4,0.0021813940982486645
Zimbabwe,0.5853658536585366,0.0011153963364018114,1.0099126565670591e-4,6.874829232411938e-4
Middle East (Shift),0.6260162601626016,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Bahamas,0.6666666666666666,2.0457771568811015e-4,3.3668997568087804e-4,2.8631713368153758e-5
High-income countries,0.7967479674796748,0.8315414478580865,3.3668997568087804e-4,0.13173779027154175
Mauritania,0.7154471544715447,5.004283660964636e-5,2.0540879730274593e-5,2.3666199085534142e-4
Bulgaria,0.6585365853658537,0.004302826071230564,6.714507126171979e-4,0.0011157534495171647
Eurasia (Shift),0.6910569105691057,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Myanmar,0.7073170731707317,3.373927038640495e-4,3.9872410006838136e-4,0.004752003420556968
Barbados,0.926829268292683,8.348704923214509e-5,2.5015369566721345e-5,3.42644362766917e-5
Martinique,0.7317073170731707,8.309710505077122e-5,3.3668997568087804e-4,4.6293681159746485e-5
Uzbekistan,0.6504065040650406,0.0011153963364018114,9.141226469571029e-4,0.0019819376361841228
G7 (Ember),0.8211382113821138,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Middle East (EIA),0.8699186991869918,0.09878154389910596,3.3668997568087804e-4,8.695984741435039e-4
OPEC (Shift),0.2845528455284553,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Honduras,0.8536585365853658,4.172662703487967e-4,2.118523868571772e-4,9.400237311313283e-4
Western Sahara,0.7804878048780488,1.2140262180106415e-5,3.3668997568087804e-4,2.709031837755908e-5
Ecuador,0.6260162601626016,3.651567295778689e-4,3.3877232169575276e-4,9.328212737387794e-4
Trinidad and Tobago,0.07317073170731707,0.0011153963364018114,3.3668997568087804e-4,4.09283189983071e-5
South Africa,0.2601626016260163,0.0011153963364018114,3.3668997568087804e-4,0.0011378319036248457
Uruguay,0.967479674796748,8.905935158397765e-4,5.155105653686761e-4,4.259101447848498e-4
Samoa,0.7723577235772358,7.96785943940603e-6,3.3668997568087804e-4,2.1513652975734964e-5
Peru,0.22764227642276422,0.0011153963364018114,1.1298588117661234e-4,6.601886350886515e-4
Poland,0.926829268292683,0.01415957512521161,0.006898745590887835,0.004795346438408778
Togo,0.7804878048780488,4.455762179165395e-5,3.990375563412383e-5,5.523788630358193e-4
Guyana,0.8780487804878049,8.513781293329445e-5,3.3668997568087804e-4,9.351113036804548e-5
Taiwan,0.4959349593495935,0.0011153963364018114,1.9128773121994763e-4,0.0014132488975031254
Mozambique,0.4796747967479675,0.0011153963364018114,1.1751147852376802e-4,8.295299107415152e-4
Switzerland,0.5772357723577236,0.0033127577947223144,0.0011910460736685505,7.72111113975513e-4
Guadeloupe,0.8943089430894309,1.2926649612543715e-4,3.3668997568087804e-4,4.987253657174492e-5
Guam,0.6666666666666666,2.0498065800886314e-4,3.3668997568087804e-4,1.4215239052846623e-5
Congo,0.5040650406504065,0.0011153963364018114,1.5173180150209383e-5,1.3803247452505915e-4
Burundi,0.6991869918699187,1.0684470569643976e-5,3.962602285254391e-5,6.264367956139284e-4
Bangladesh,0.13821138211382114,0.0011153963364018114,3.3668997568087804e-4,0.003515218955236099
Finland,0.8536585365853658,0.004647458738728788,0.001483354135197301,6.518378067326235e-4
Peru,0.7154471544715447,0.0015232779501188768,9.525842340003595e-4,0.002627862929658734
Oceania,0.17886178861788618,0.0011153963364018114,3.3668997568087804e-4,9.803461070138264e-4
Argentina,0.8861788617886179,0.011081056800240578,0.005429512965835432,0.005056674353698323
Kenya,0.8455284552845529,6.241186604282544e-4,5.53122416446304e-4,0.004324259039349555
Reunion,0.9186991869918699,0,3.3668997568087804e-4,1.1249647792456535e-4
Sao Tome and Principe,0.6585365853658537,1.8197395130780496e-6,7.920163850295579e-7,1.2100590800690567e-5
Bolivia,0.7723577235772358,4.7155949853541827e-4,2.1763660782489865e-4,9.744358310842418e-4
Ireland,0.983739837398374,0.002332464119027169,0.002214124289019177,6.195773952469453e-4
Central & South America (EIA),0.983739837398374,0.10254745582700285,3.3668997568087804e-4,8.695984741435039e-4
Cote d'Ivoire,0.056910569105691054,0.0011153963364018114,3.3668997568087804e-4,1.9402335857015562e-4
Brunei,0.032520325203252036,0.0011153963364018114,3.3668997568087804e-4,2.175801895843871e-6
